Row Labels,Average of salary,
BI and Visualization,135935.8403,
Cloud and Database,155000,
Data Analysis,107801.4715,
Data Architecture and Modeling,155343.8919,
Data Engineering,145588.3695,
Data Management and Strategy,103085.9508,
Data Quality and Operations,100554.3636,
Data Science and Research,163401.935,
Leadership and Management,144164.4095,
Machine Learning and AI,179338.9055,
Grand Total,149927.9813,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Row Labels,Sum of work_year
,Contract,38418
,Freelance,22241
,Full-time,18831940
,Part-time,30325
,Grand Total,18922924
